StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
04913P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04914P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04915P,38000,1,23180,0.61,0.61,0.61,0.61,0.02,2021-03-24
04916P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04917P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04918P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04919P,59000,4,39640,0.68,0.68,0.66,0.66,0.0,2021-03-24
04920P,230000,3,34500,0.15,0.15,0.15,0.15,0.02,2021-03-24
04921P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04922P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04923P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04924P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04925P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04926P,100000,1,14000,0.14,0.14,0.14,0.14,0.0,2021-03-24
04927P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04928P,5000,2,1750,0.35,0.35,0.35,0.35,0.0,2021-03-24
04929P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04930P,25000,1,5750,0.23,0.23,0.23,0.23,0.04,2021-03-24
04931P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04932P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04933P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04934P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04935P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04936P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04937P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04938P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04939P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04940P,180000,3,28800,0.17,0.17,0.15,0.15,-0.03,2021-03-24
04941P,66000,2,20960,0.32,0.32,0.31,0.31,0.0,2021-03-24
04942P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04943P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04944P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04945P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04946P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04947P,1000,1,20,0.02,0.02,0.02,0.02,0.0,2021-03-24
04948P,72000,1,720,0.01,0.01,0.01,0.01,0.0,2021-03-24
04949P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04950P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04951P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04952P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04953P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04954P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04955P,17000,4,9460,0.56,0.56,0.54,0.56,0.13,2021-03-24
04956P,295000,10,93350,0.29,0.32,0.29,0.32,0.0,2021-03-24
04957P,1000,1,270,0.27,0.27,0.27,0.27,0.0,2021-03-24
04958P,100000,4,8500,0.1,0.1,0.08,0.08,-0.01,2021-03-24
04959P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04960P,100000,1,14000,0.14,0.14,0.14,0.14,-0.01,2021-03-24
04961P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04962P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04963P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04964P,132000,7,254520,1.95,1.95,1.88,1.91,-0.03,2021-03-24
04965P,56000,2,43880,0.78,0.79,0.78,0.79,0.04,2021-03-24
04966P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04967P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04968P,600000,2,102000,0.17,0.17,0.17,0.17,0.0,2021-03-24
04969P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04970P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04971P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04972P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04973P,107000,1,119840,1.12,1.12,1.12,1.12,0.0,2021-03-24
04974P,87000,3,34880,0.39,0.49,0.39,0.49,0.0,2021-03-24
04975P,20000,1,7200,0.36,0.36,0.36,0.36,0.04,2021-03-24
04976P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04977P,15000,4,35920,2.37,2.4,2.37,2.38,0.26,2021-03-24
04978P,68000,4,114400,1.63,1.7,1.63,1.69,0.0,2021-03-24
04979P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04980P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04981P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04982P,396000,4,229680,0.58,0.58,0.58,0.58,0.0,2021-03-24
04983P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04984P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04985P,30000,1,3900,0.13,0.13,0.13,0.13,0.01,2021-03-24
04986P,105000,2,31750,0.35,0.35,0.3,0.3,-0.05,2021-03-24
04987P,60000,2,17600,0.29,0.31,0.29,0.31,-0.02,2021-03-24
04988P,396000,11,406030,1.0,1.04,0.99,1.03,0.04,2021-03-24
